Member_number,Date,itemDescription,year,month,day,day_of_week,first,second,third,fourth,Item
2968,17-10-2015,soda,2015,10,17,5,soda,,,,
4970,08-08-2015,pet care,2015,8,8,5,pet,care,,,petcare
4827,10-03-2015,root vegetables,2015,3,10,1,root,vegetables,,,rootvegetables
3474,04-07-2015,tropical fruit,2015,7,4,5,tropical,fruit,,,tropicalfruit
4417,19-03-2015,chicken,2015,3,19,3,chicken,,,,
3061,11-05-2015,soda,2015,5,11,0,soda,,,,
4364,25-05-2015,chicken,2015,5,25,0,chicken,,,,
2887,17-01-2015,tropical fruit,2015,1,17,5,tropical,fruit,,,tropicalfruit
1292,24-10-2015,beverages,2015,10,24,5,beverages,,,,
1693,27-12-2015,onions,2015,12,27,6,onions,,,,
2267,01-07-2015,whole milk,2015,7,1,2,whole,milk,,,wholemilk
2663,09-10-2015,chicken,2015,10,9,4,chicken,,,,
1551,06-11-2015,tropical fruit,2015,11,6,4,tropical,fruit,,,tropicalfruit
3421,05-12-2015,citrus fruit,2015,12,5,5,citrus,fruit,,,citrusfruit
2785,07-12-2015,semi-finished bread,2015,12,7,0,semi-finished,bread,,,semi-finishedbread
4326,05-02-2015,tropical fruit,2015,2,5,3,tropical,fruit,,,tropicalfruit
2871,20-12-2015,hamburger meat,2015,12,20,6,hamburger,meat,,,hamburgermeat
4969,26-05-2015,sausage,2015,5,26,1,sausage,,,,
3463,24-09-2015,tropical fruit,2015,9,24,3,tropical,fruit,,,tropicalfruit
1504,30-11-2015,curd,2015,11,30,0,curd,,,,
2528,19-10-2015,tropical fruit,2015,10,19,0,tropical,fruit,,,tropicalfruit
1959,15-05-2015,tropical fruit,2015,5,15,4,tropical,fruit,,,tropicalfruit
2479,13-01-2015,whole milk,2015,1,13,1,whole,milk,,,wholemilk
4809,13-04-2015,zwieback,2015,4,13,0,zwieback,,,,
4047,03-06-2015,cream cheese ,2015,6,3,2,cream,cheese,,,creamcheese
2781,01-11-2015,rolls/buns,2015,11,1,6,rolls/buns,,,,
1837,01-03-2015,meat,2015,3,1,6,meat,,,,
3288,26-04-2015,brown bread,2015,4,26,6,brown,bread,,,brownbread
1152,20-04-2015,soda,2015,4,20,0,soda,,,,
1641,23-06-2015,uht-milk,2015,6,23,1,uht-milk,,,,
2685,19-07-2015,frankfurter,2015,7,19,6,frankfurter,,,,
3599,01-08-2015,meat,2015,8,1,5,meat,,,,
2114,11-06-2015,whole milk,2015,6,11,3,whole,milk,,,wholemilk
2019,09-08-2015,sausage,2015,8,9,6,sausage,,,,
4019,19-03-2015,herbs,2015,3,19,3,herbs,,,,
3663,28-06-2015,whole milk,2015,6,28,6,whole,milk,,,wholemilk
3170,12-03-2015,other vegetables,2015,3,12,3,other,vegetables,,,othervegetables
3537,24-09-2015,brown bread,2015,9,24,3,brown,bread,,,brownbread
3918,22-06-2015,whipped/sour cream,2015,6,22,0,whipped/sour,cream,,,whipped/sourcream
3507,22-07-2015,other vegetables,2015,7,22,2,other,vegetables,,,othervegetables
4453,22-05-2015,pork,2015,5,22,4,pork,,,,
2769,31-07-2015,flower soil/fertilizer,2015,7,31,4,flower,soil/fertilizer,,,flowersoil/fertilizer
4151,11-02-2015,whole milk,2015,2,11,2,whole,milk,,,wholemilk
2291,04-10-2015,grapes,2015,10,4,6,grapes,,,,
1677,21-02-2015,liver loaf,2015,2,21,5,liver,loaf,,,liverloaf
1499,03-06-2015,rolls/buns,2015,6,3,2,rolls/buns,,,,
2274,01-05-2015,citrus fruit,2015,5,1,4,citrus,fruit,,,citrusfruit
2186,04-02-2015,sausage,2015,2,4,2,sausage,,,,
4437,08-07-2015,pastry,2015,7,8,2,pastry,,,,
4856,01-03-2015,beverages,2015,3,1,6,beverages,,,,
3413,23-09-2015,beverages,2015,9,23,2,beverages,,,,
4741,25-09-2015,other vegetables,2015,9,25,4,other,vegetables,,,othervegetables
4406,27-05-2015,tropical fruit,2015,5,27,2,tropical,fruit,,,tropicalfruit
2601,30-04-2015,beef,2015,4,30,3,beef,,,,
4845,10-12-2015,frozen dessert,2015,12,10,3,frozen,dessert,,,frozendessert
3695,07-09-2015,soda,2015,9,7,0,soda,,,,
2202,28-02-2015,pork,2015,2,28,5,pork,,,,
1027,25-02-2015,rolls/buns,2015,2,25,2,rolls/buns,,,,
1744,28-09-2015,domestic eggs,2015,9,28,0,domestic,eggs,,,domesticeggs
4864,12-04-2015,whole milk,2015,4,12,6,whole,milk,,,wholemilk
3730,27-07-2015,candy,2015,7,27,0,candy,,,,
2127,01-01-2015,pork,2015,1,1,3,pork,,,,
2672,26-11-2015,frankfurter,2015,11,26,3,frankfurter,,,,
1930,02-02-2015,ham,2015,2,2,0,ham,,,,
3623,05-07-2015,salty snack,2015,7,5,6,salty,snack,,,saltysnack
4082,05-01-2015,whole milk,2015,1,5,0,whole,milk,,,wholemilk
4387,26-07-2015,canned beer,2015,7,26,6,canned,beer,,,cannedbeer
4424,22-08-2015,newspapers,2015,8,22,5,newspapers,,,,
3630,24-07-2015,hard cheese,2015,7,24,4,hard,cheese,,,hardcheese
2202,28-05-2015,tropical fruit,2015,5,28,3,tropical,fruit,,,tropicalfruit
3036,18-09-2015,yogurt,2015,9,18,4,yogurt,,,,
4529,05-10-2015,tropical fruit,2015,10,5,0,tropical,fruit,,,tropicalfruit
1968,16-02-2015,whole milk,2015,2,16,0,whole,milk,,,wholemilk
1511,22-03-2015,ice cream,2015,3,22,6,ice,cream,,,icecream
1503,17-08-2015,bottled beer,2015,8,17,0,bottled,beer,,,bottledbeer
2091,30-07-2015,citrus fruit,2015,7,30,3,citrus,fruit,,,citrusfruit
1651,22-02-2015,hamburger meat,2015,2,22,6,hamburger,meat,,,hamburgermeat
1553,20-03-2015,frozen fish,2015,3,20,4,frozen,fish,,,frozenfish
4746,12-09-2015,frozen vegetables,2015,9,12,5,frozen,vegetables,,,frozenvegetables
2902,06-12-2015,tropical fruit,2015,12,6,6,tropical,fruit,,,tropicalfruit
4205,29-01-2015,citrus fruit,2015,1,29,3,citrus,fruit,,,citrusfruit
1508,15-11-2015,sausage,2015,11,15,6,sausage,,,,
2403,12-01-2015,whipped/sour cream,2015,1,12,0,whipped/sour,cream,,,whipped/sourcream
4705,22-05-2015,sausage,2015,5,22,4,sausage,,,,
1285,21-07-2015,yogurt,2015,7,21,1,yogurt,,,,
4238,12-03-2015,pastry,2015,3,12,3,pastry,,,,
1938,05-08-2015,pork,2015,8,5,2,pork,,,,
3402,23-05-2015,curd,2015,5,23,5,curd,,,,
4031,18-10-2015,sausage,2015,10,18,6,sausage,,,,
1739,31-05-2015,sausage,2015,5,31,6,sausage,,,,
2104,27-02-2015,berries,2015,2,27,4,berries,,,,
4516,12-07-2015,root vegetables,2015,7,12,6,root,vegetables,,,rootvegetables
3485,22-07-2015,rolls/buns,2015,7,22,2,rolls/buns,,,,
4462,06-07-2015,domestic eggs,2015,7,6,0,domestic,eggs,,,domesticeggs
2544,29-01-2015,tidbits,2015,1,29,3,tidbits,,,,
2805,30-08-2015,curd,2015,8,30,6,curd,,,,
2969,24-08-2015,hygiene articles,2015,8,24,0,hygiene,articles,,,hygienearticles
3563,25-11-2015,spread cheese,2015,11,25,2,spread,cheese,,,spreadcheese
2683,18-01-2015,berries,2015,1,18,6,berries,,,,
3776,18-07-2015,coffee,2015,7,18,5,coffee,,,,
1331,29-11-2015,other vegetables,2015,11,29,6,other,vegetables,,,othervegetables
1498,28-05-2015,frankfurter,2015,5,28,3,frankfurter,,,,
3890,01-11-2015,sausage,2015,11,1,6,sausage,,,,
4559,02-07-2015,ice cream,2015,7,2,3,ice,cream,,,icecream
2723,31-01-2015,frankfurter,2015,1,31,5,frankfurter,,,,
2925,12-11-2015,dessert,2015,11,12,3,dessert,,,,
3684,15-02-2015,ham,2015,2,15,6,ham,,,,
1770,19-11-2015,semi-finished bread,2015,11,19,3,semi-finished,bread,,,semi-finishedbread
3661,17-06-2015,whole milk,2015,6,17,2,whole,milk,,,wholemilk
1044,25-10-2015,root vegetables,2015,10,25,6,root,vegetables,,,rootvegetables
3031,25-11-2015,beef,2015,11,25,2,beef,,,,
3028,19-05-2015,citrus fruit,2015,5,19,1,citrus,fruit,,,citrusfruit
3035,03-04-2015,citrus fruit,2015,4,3,4,citrus,fruit,,,citrusfruit
3189,23-11-2015,bottled water,2015,11,23,0,bottled,water,,,bottledwater
3766,11-08-2015,pork,2015,8,11,1,pork,,,,
4540,08-04-2015,frankfurter,2015,4,8,2,frankfurter,,,,
4362,07-11-2015,berries,2015,11,7,5,berries,,,,
4355,21-11-2015,bottled beer,2015,11,21,5,bottled,beer,,,bottledbeer
1510,25-10-2015,ham,2015,10,25,6,ham,,,,
4299,14-08-2015,whole milk,2015,8,14,4,whole,milk,,,wholemilk
1982,14-12-2015,coffee,2015,12,14,0,coffee,,,,
3365,13-08-2015,chicken,2015,8,13,3,chicken,,,,
3653,11-09-2015,frankfurter,2015,9,11,4,frankfurter,,,,
1795,04-03-2015,beef,2015,3,4,2,beef,,,,
4693,24-04-2015,canned beer,2015,4,24,4,canned,beer,,,cannedbeer
4219,16-10-2015,rolls/buns,2015,10,16,4,rolls/buns,,,,
3636,14-05-2015,whole milk,2015,5,14,3,whole,milk,,,wholemilk
1595,04-11-2015,pip fruit,2015,11,4,2,pip,fruit,,,pipfruit
3196,05-05-2015,soda,2015,5,5,1,soda,,,,
2657,21-05-2015,bottled beer,2015,5,21,3,bottled,beer,,,bottledbeer
4656,14-10-2015,frankfurter,2015,10,14,2,frankfurter,,,,
4239,02-11-2015,sausage,2015,11,2,0,sausage,,,,
1510,21-08-2015,other vegetables,2015,8,21,4,other,vegetables,,,othervegetables
3462,21-01-2015,soda,2015,1,21,2,soda,,,,
3794,11-01-2015,onions,2015,1,11,6,onions,,,,
1408,03-01-2015,root vegetables,2015,1,3,5,root,vegetables,,,rootvegetables
3686,29-08-2015,other vegetables,2015,8,29,5,other,vegetables,,,othervegetables
2273,28-02-2015,chewing gum,2015,2,28,5,chewing,gum,,,chewinggum
4693,13-03-2015,fruit/vegetable juice,2015,3,13,4,fruit/vegetable,juice,,,fruit/vegetablejuice
2597,13-02-2015,pork,2015,2,13,4,pork,,,,
1551,21-07-2015,dessert,2015,7,21,1,dessert,,,,
2888,01-08-2015,flour,2015,8,1,5,flour,,,,
1631,14-08-2015,tropical fruit,2015,8,14,4,tropical,fruit,,,tropicalfruit
3564,07-04-2015,pip fruit,2015,4,7,1,pip,fruit,,,pipfruit
4277,25-11-2015,yogurt,2015,11,25,2,yogurt,,,,
4410,10-12-2015,ice cream,2015,12,10,3,ice,cream,,,icecream
3455,18-11-2015,pastry,2015,11,18,2,pastry,,,,
2467,07-05-2015,whole milk,2015,5,7,3,whole,milk,,,wholemilk
2235,19-01-2015,citrus fruit,2015,1,19,0,citrus,fruit,,,citrusfruit
2145,21-01-2015,onions,2015,1,21,2,onions,,,,
3310,03-08-2015,berries,2015,8,3,0,berries,,,,
2876,19-09-2015,tropical fruit,2015,9,19,5,tropical,fruit,,,tropicalfruit
3736,26-02-2015,bottled water,2015,2,26,3,bottled,water,,,bottledwater
3402,16-08-2015,whole milk,2015,8,16,6,whole,milk,,,wholemilk
1397,21-12-2015,uht-milk,2015,12,21,0,uht-milk,,,,
3497,15-08-2015,pork,2015,8,15,5,pork,,,,
3044,06-07-2015,pastry,2015,7,6,0,pastry,,,,
1296,23-11-2015,other vegetables,2015,11,23,0,other,vegetables,,,othervegetables
3999,16-11-2015,frozen meals,2015,11,16,0,frozen,meals,,,frozenmeals
2492,11-10-2015,root vegetables,2015,10,11,6,root,vegetables,,,rootvegetables
1572,21-09-2015,soda,2015,9,21,0,soda,,,,
4224,29-01-2015,chicken,2015,1,29,3,chicken,,,,
2352,31-01-2015,dessert,2015,1,31,5,dessert,,,,
3609,23-02-2015,sausage,2015,2,23,0,sausage,,,,
4142,17-11-2015,other vegetables,2015,11,17,1,other,vegetables,,,othervegetables
2736,26-12-2015,soda,2015,12,26,5,soda,,,,
2517,20-03-2015,beef,2015,3,20,4,beef,,,,
4999,18-02-2015,berries,2015,2,18,2,berries,,,,
4338,24-03-2015,ham,2015,3,24,1,ham,,,,
2215,26-11-2015,citrus fruit,2015,11,26,3,citrus,fruit,,,citrusfruit
2745,21-04-2015,berries,2015,4,21,1,berries,,,,
2861,03-12-2015,meat,2015,12,3,3,meat,,,,
3553,05-10-2015,coffee,2015,10,5,0,coffee,,,,
2993,05-05-2015,long life bakery product,2015,5,5,1,long,life,bakery,product,longlife
4365,20-02-2015,whole milk,2015,2,20,4,whole,milk,,,wholemilk
2860,20-12-2015,root vegetables,2015,12,20,6,root,vegetables,,,rootvegetables
3760,22-11-2015,pork,2015,11,22,6,pork,,,,
2505,22-04-2015,yogurt,2015,4,22,2,yogurt,,,,
1485,07-12-2015,soda,2015,12,7,0,soda,,,,
4608,27-04-2015,frankfurter,2015,4,27,0,frankfurter,,,,
2873,15-07-2015,photo/film,2015,7,15,2,photo/film,,,,
4848,07-07-2015,tropical fruit,2015,7,7,1,tropical,fruit,,,tropicalfruit
2550,23-12-2015,chicken,2015,12,23,2,chicken,,,,
2085,22-04-2015,soda,2015,4,22,2,soda,,,,
2549,24-08-2015,sausage,2015,8,24,0,sausage,,,,
1200,08-08-2015,citrus fruit,2015,8,8,5,citrus,fruit,,,citrusfruit
3463,05-09-2015,pastry,2015,9,5,5,pastry,,,,
3583,08-02-2015,root vegetables,2015,2,8,6,root,vegetables,,,rootvegetables
1276,26-03-2015,hard cheese,2015,3,26,3,hard,cheese,,,hardcheese
2951,22-12-2015,curd,2015,12,22,1,curd,,,,
4970,23-07-2015,berries,2015,7,23,3,berries,,,,
1492,20-01-2015,cat food,2015,1,20,1,cat,food,,,catfood
3864,26-08-2015,bottled water,2015,8,26,2,bottled,water,,,bottledwater
2506,17-11-2015,soda,2015,11,17,1,soda,,,,
4285,22-04-2015,fruit/vegetable juice,2015,4,22,2,fruit/vegetable,juice,,,fruit/vegetablejuice
4822,26-02-2015,brown bread,2015,2,26,3,brown,bread,,,brownbread
3588,15-12-2015,citrus fruit,2015,12,15,1,citrus,fruit,,,citrusfruit
2520,12-06-2015,whipped/sour cream,2015,6,12,4,whipped/sour,cream,,,whipped/sourcream
1088,14-01-2015,yogurt,2015,1,14,2,yogurt,,,,
1486,23-09-2015,chicken,2015,9,23,2,chicken,,,,
4080,07-03-2015,photo/film,2015,3,7,5,photo/film,,,,
3058,27-07-2015,sausage,2015,7,27,0,sausage,,,,
3133,12-01-2015,tropical fruit,2015,1,12,0,tropical,fruit,,,tropicalfruit
1731,17-08-2015,whole milk,2015,8,17,0,whole,milk,,,wholemilk
2436,17-02-2015,butter,2015,2,17,1,butter,,,,
3452,15-05-2015,citrus fruit,2015,5,15,4,citrus,fruit,,,citrusfruit
2761,01-11-2015,pork,2015,11,1,6,pork,,,,
1705,28-07-2015,frozen fish,2015,7,28,1,frozen,fish,,,frozenfish
3221,04-01-2015,beef,2015,1,4,6,beef,,,,
1384,19-12-2015,other vegetables,2015,12,19,5,other,vegetables,,,othervegetables
4570,22-08-2015,chicken,2015,8,22,5,chicken,,,,
2506,27-12-2015,beverages,2015,12,27,6,beverages,,,,
3380,23-04-2015,pork,2015,4,23,3,pork,,,,
2765,30-11-2015,candy,2015,11,30,0,candy,,,,
4840,06-05-2015,whole milk,2015,5,6,2,whole,milk,,,wholemilk
1685,18-08-2015,other vegetables,2015,8,18,1,other,vegetables,,,othervegetables
2028,03-01-2015,coffee,2015,1,3,5,coffee,,,,
1125,27-08-2015,sausage,2015,8,27,3,sausage,,,,
1054,09-02-2015,bottled beer,2015,2,9,0,bottled,beer,,,bottledbeer
4274,23-01-2015,soda,2015,1,23,4,soda,,,,
2710,14-10-2015,frankfurter,2015,10,14,2,frankfurter,,,,
2699,28-11-2015,whipped/sour cream,2015,11,28,5,whipped/sour,cream,,,whipped/sourcream
1918,29-09-2015,tropical fruit,2015,9,29,1,tropical,fruit,,,tropicalfruit
4936,03-02-2015,sausage,2015,2,3,1,sausage,,,,
2535,20-03-2015,rolls/buns,2015,3,20,4,rolls/buns,,,,
4495,24-08-2015,other vegetables,2015,8,24,0,other,vegetables,,,othervegetables
4216,24-02-2015,citrus fruit,2015,2,24,1,citrus,fruit,,,citrusfruit
1515,21-09-2015,pastry,2015,9,21,0,pastry,,,,
2604,26-01-2015,citrus fruit,2015,1,26,0,citrus,fruit,,,citrusfruit
4820,12-07-2015,pet care,2015,7,12,6,pet,care,,,petcare
2340,28-11-2015,butter,2015,11,28,5,butter,,,,
2864,13-03-2015,citrus fruit,2015,3,13,4,citrus,fruit,,,citrusfruit
1366,29-11-2015,whole milk,2015,11,29,6,whole,milk,,,wholemilk
3317,29-06-2015,pork,2015,6,29,0,pork,,,,
4218,01-11-2015,ham,2015,11,1,6,ham,,,,
3958,11-04-2015,soda,2015,4,11,5,soda,,,,
1309,04-01-2015,tropical fruit,2015,1,4,6,tropical,fruit,,,tropicalfruit
1394,24-05-2015,ham,2015,5,24,6,ham,,,,
4412,05-04-2015,sausage,2015,4,5,6,sausage,,,,
3649,21-06-2015,dishes,2015,6,21,6,dishes,,,,
4805,13-10-2015,other vegetables,2015,10,13,1,other,vegetables,,,othervegetables
1599,20-04-2015,semi-finished bread,2015,4,20,0,semi-finished,bread,,,semi-finishedbread
4321,09-12-2015,sausage,2015,12,9,2,sausage,,,,
3397,20-02-2015,citrus fruit,2015,2,20,4,citrus,fruit,,,citrusfruit
3767,06-06-2015,bottled beer,2015,6,6,5,bottled,beer,,,bottledbeer
2781,06-01-2015,soda,2015,1,6,1,soda,,,,
3750,17-05-2015,pastry,2015,5,17,6,pastry,,,,
4574,27-11-2015,bottled beer,2015,11,27,4,bottled,beer,,,bottledbeer
4180,04-01-2015,specialty chocolate,2015,1,4,6,specialty,chocolate,,,specialtychocolate
3897,02-01-2015,soda,2015,1,2,4,soda,,,,
4333,07-01-2015,misc. beverages,2015,1,7,2,misc.,beverages,,,misc.beverages
3796,06-06-2015,seasonal products,2015,6,6,5,seasonal,products,,,seasonalproducts
2240,18-05-2015,citrus fruit,2015,5,18,0,citrus,fruit,,,citrusfruit
2967,02-06-2015,yogurt,2015,6,2,1,yogurt,,,,
2581,14-12-2015,meat,2015,12,14,0,meat,,,,
1248,15-12-2015,frankfurter,2015,12,15,1,frankfurter,,,,
3830,18-10-2015,frankfurter,2015,10,18,6,frankfurter,,,,
3976,05-08-2015,packaged fruit/vegetables,2015,8,5,2,packaged,fruit/vegetables,,,packagedfruit/vegetables
1842,23-02-2015,root vegetables,2015,2,23,0,root,vegetables,,,rootvegetables
1626,18-02-2015,pastry,2015,2,18,2,pastry,,,,
4059,01-05-2015,frankfurter,2015,5,1,4,frankfurter,,,,
2370,09-12-2015,whole milk,2015,12,9,2,whole,milk,,,wholemilk
4466,09-03-2015,citrus fruit,2015,3,9,0,citrus,fruit,,,citrusfruit
2404,02-10-2015,beef,2015,10,2,4,beef,,,,
3224,14-03-2015,frankfurter,2015,3,14,5,frankfurter,,,,
1478,02-12-2015,pork,2015,12,2,2,pork,,,,
2229,22-12-2015,sausage,2015,12,22,1,sausage,,,,
4418,10-04-2015,whipped/sour cream,2015,4,10,4,whipped/sour,cream,,,whipped/sourcream
3571,07-07-2015,coffee,2015,7,7,1,coffee,,,,
2234,27-02-2015,sausage,2015,2,27,4,sausage,,,,
3416,02-07-2015,tropical fruit,2015,7,2,3,tropical,fruit,,,tropicalfruit
3429,29-06-2015,pork,2015,6,29,0,pork,,,,
1046,24-06-2015,pork,2015,6,24,2,pork,,,,
4498,19-04-2015,other vegetables,2015,4,19,6,other,vegetables,,,othervegetables
2152,09-03-2015,chicken,2015,3,9,0,chicken,,,,
1425,18-03-2015,ham,2015,3,18,2,ham,,,,
3946,19-11-2015,root vegetables,2015,11,19,3,root,vegetables,,,rootvegetables
1009,14-05-2015,tropical fruit,2015,5,14,3,tropical,fruit,,,tropicalfruit
2825,25-12-2015,soda,2015,12,25,4,soda,,,,
4592,22-06-2015,whole milk,2015,6,22,0,whole,milk,,,wholemilk
1449,27-05-2015,whole milk,2015,5,27,2,whole,milk,,,wholemilk
1837,18-06-2015,bottled beer,2015,6,18,3,bottled,beer,,,bottledbeer
4322,31-10-2015,brown bread,2015,10,31,5,brown,bread,,,brownbread
2039,18-06-2015,bottled beer,2015,6,18,3,bottled,beer,,,bottledbeer
3999,19-05-2015,dessert,2015,5,19,1,dessert,,,,
1183,01-04-2015,sausage,2015,4,1,2,sausage,,,,
2441,07-03-2015,meat,2015,3,7,5,meat,,,,
2739,19-09-2015,pip fruit,2015,9,19,5,pip,fruit,,,pipfruit
3049,02-05-2015,beef,2015,5,2,5,beef,,,,
1697,29-05-2015,root vegetables,2015,5,29,4,root,vegetables,,,rootvegetables
4109,24-08-2015,dessert,2015,8,24,0,dessert,,,,
3217,20-03-2015,dessert,2015,3,20,4,dessert,,,,
4879,10-12-2015,other vegetables,2015,12,10,3,other,vegetables,,,othervegetables
3505,10-11-2015,beverages,2015,11,10,1,beverages,,,,
4292,26-10-2015,frankfurter,2015,10,26,0,frankfurter,,,,
4813,08-04-2015,citrus fruit,2015,4,8,2,citrus,fruit,,,citrusfruit
1379,17-04-2015,pastry,2015,4,17,4,pastry,,,,
3410,31-05-2015,yogurt,2015,5,31,6,yogurt,,,,
4074,09-10-2015,whole milk,2015,10,9,4,whole,milk,,,wholemilk
3438,01-04-2015,sausage,2015,4,1,2,sausage,,,,
2919,30-06-2015,pip fruit,2015,6,30,1,pip,fruit,,,pipfruit
1401,29-05-2015,sausage,2015,5,29,4,sausage,,,,
2074,20-12-2015,bottled water,2015,12,20,6,bottled,water,,,bottledwater
4193,30-08-2015,meat,2015,8,30,6,meat,,,,
1195,11-04-2015,finished products,2015,4,11,5,finished,products,,,finishedproducts
4850,15-07-2015,other vegetables,2015,7,15,2,other,vegetables,,,othervegetables
3255,01-08-2015,domestic eggs,2015,8,1,5,domestic,eggs,,,domesticeggs
2572,27-05-2015,soda,2015,5,27,2,soda,,,,
3803,14-12-2015,chicken,2015,12,14,0,chicken,,,,
3342,22-06-2015,sausage,2015,6,22,0,sausage,,,,
3167,20-08-2015,soda,2015,8,20,3,soda,,,,
3517,14-07-2015,whole milk,2015,7,14,1,whole,milk,,,wholemilk
1391,14-03-2015,rolls/buns,2015,3,14,5,rolls/buns,,,,
2682,20-01-2015,canned beer,2015,1,20,1,canned,beer,,,cannedbeer
1363,15-01-2015,bottled beer,2015,1,15,3,bottled,beer,,,bottledbeer
4849,17-05-2015,citrus fruit,2015,5,17,6,citrus,fruit,,,citrusfruit
3107,16-11-2015,napkins,2015,11,16,0,napkins,,,,
2171,22-04-2015,beef,2015,4,22,2,beef,,,,
2286,19-06-2015,canned beer,2015,6,19,4,canned,beer,,,cannedbeer
1449,10-03-2015,ham,2015,3,10,1,ham,,,,
2192,02-10-2015,frankfurter,2015,10,2,4,frankfurter,,,,
1926,29-05-2015,yogurt,2015,5,29,4,yogurt,,,,
1245,12-04-2015,turkey,2015,4,12,6,turkey,,,,
4034,13-11-2015,whole milk,2015,11,13,4,whole,milk,,,wholemilk
3719,22-02-2015,yogurt,2015,2,22,6,yogurt,,,,
1033,15-06-2015,chicken,2015,6,15,0,chicken,,,,
1293,26-10-2015,whole milk,2015,10,26,0,whole,milk,,,wholemilk
3737,12-12-2015,sausage,2015,12,12,5,sausage,,,,
1114,26-04-2015,chicken,2015,4,26,6,chicken,,,,
2286,12-04-2015,citrus fruit,2015,4,12,6,citrus,fruit,,,citrusfruit
1782,13-09-2015,tropical fruit,2015,9,13,6,tropical,fruit,,,tropicalfruit
2837,19-09-2015,rolls/buns,2015,9,19,5,rolls/buns,,,,
2011,23-12-2015,uht-milk,2015,12,23,2,uht-milk,,,,
3067,22-09-2015,candy,2015,9,22,1,candy,,,,
3191,30-12-2015,pip fruit,2015,12,30,2,pip,fruit,,,pipfruit
4161,24-09-2015,whole milk,2015,9,24,3,whole,milk,,,wholemilk
2526,16-10-2015,coffee,2015,10,16,4,coffee,,,,
1582,07-08-2015,sausage,2015,8,7,4,sausage,,,,
3663,20-11-2015,citrus fruit,2015,11,20,4,citrus,fruit,,,citrusfruit
1237,03-08-2015,rolls/buns,2015,8,3,0,rolls/buns,,,,
2635,17-09-2015,whole milk,2015,9,17,3,whole,milk,,,wholemilk
3034,22-05-2015,whipped/sour cream,2015,5,22,4,whipped/sour,cream,,,whipped/sourcream
3005,07-12-2015,citrus fruit,2015,12,7,0,citrus,fruit,,,citrusfruit
2476,30-07-2015,butter milk,2015,7,30,3,butter,milk,,,buttermilk
1052,15-05-2015,frankfurter,2015,5,15,4,frankfurter,,,,
3781,23-09-2015,frankfurter,2015,9,23,2,frankfurter,,,,
4736,04-03-2015,beef,2015,3,4,2,beef,,,,
4101,30-01-2015,chicken,2015,1,30,4,chicken,,,,
2535,17-10-2015,canned beer,2015,10,17,5,canned,beer,,,cannedbeer
1924,09-07-2015,sausage,2015,7,9,3,sausage,,,,
3079,01-04-2015,specialty bar,2015,4,1,2,specialty,bar,,,specialtybar
4270,02-08-2015,bottled water,2015,8,2,6,bottled,water,,,bottledwater
2797,09-12-2015,chicken,2015,12,9,2,chicken,,,,
3813,18-01-2015,whole milk,2015,1,18,6,whole,milk,,,wholemilk
4412,20-12-2015,sausage,2015,12,20,6,sausage,,,,
2997,06-02-2015,canned beer,2015,2,6,4,canned,beer,,,cannedbeer
3703,24-03-2015,rolls/buns,2015,3,24,1,rolls/buns,,,,
2260,10-02-2015,bottled water,2015,2,10,1,bottled,water,,,bottledwater
3583,12-03-2015,soda,2015,3,12,3,soda,,,,
2513,30-01-2015,chicken,2015,1,30,4,chicken,,,,
4336,25-09-2015,beverages,2015,9,25,4,beverages,,,,
2017,19-02-2015,nuts/prunes,2015,2,19,3,nuts/prunes,,,,
2787,05-09-2015,rolls/buns,2015,9,5,5,rolls/buns,,,,
3460,14-09-2015,other vegetables,2015,9,14,0,other,vegetables,,,othervegetables
4056,29-08-2015,packaged fruit/vegetables,2015,8,29,5,packaged,fruit/vegetables,,,packagedfruit/vegetables
2063,23-08-2015,sausage,2015,8,23,6,sausage,,,,
2085,04-04-2015,pip fruit,2015,4,4,5,pip,fruit,,,pipfruit
3778,13-03-2015,soda,2015,3,13,4,soda,,,,
2691,03-09-2015,liver loaf,2015,9,3,3,liver,loaf,,,liverloaf
2534,11-08-2015,pork,2015,8,11,1,pork,,,,
2315,17-12-2015,chicken,2015,12,17,3,chicken,,,,
1094,16-05-2015,tropical fruit,2015,5,16,5,tropical,fruit,,,tropicalfruit
4529,24-05-2015,flower soil/fertilizer,2015,5,24,6,flower,soil/fertilizer,,,flowersoil/fertilizer
2745,29-04-2015,meat,2015,4,29,2,meat,,,,
4352,28-11-2015,sausage,2015,11,28,5,sausage,,,,
2783,31-03-2015,citrus fruit,2015,3,31,1,citrus,fruit,,,citrusfruit
3280,14-04-2015,beef,2015,4,14,1,beef,,,,
3473,04-07-2015,whole milk,2015,7,4,5,whole,milk,,,wholemilk
3476,28-06-2015,whipped/sour cream,2015,6,28,6,whipped/sour,cream,,,whipped/sourcream
2173,08-11-2015,chicken,2015,11,8,6,chicken,,,,
4170,05-11-2015,chicken,2015,11,5,3,chicken,,,,
1596,14-07-2015,bottled water,2015,7,14,1,bottled,water,,,bottledwater
1265,13-04-2015,pork,2015,4,13,0,pork,,,,
1259,20-09-2015,ice cream,2015,9,20,6,ice,cream,,,icecream
4102,23-10-2015,ham,2015,10,23,4,ham,,,,
3465,16-04-2015,butter milk,2015,4,16,3,butter,milk,,,buttermilk
3504,11-05-2015,frankfurter,2015,5,11,0,frankfurter,,,,
3336,26-03-2015,pork,2015,3,26,3,pork,,,,
